CodUsuarioOuPerfilLegado,CodFilial,CodSistema,OperacaoLegado,NivelI,NivelA,NivelE,NivelT,Area,Criticidade,PermissaoNovaSugerida,StatusEvidencia
ATENDJR,QL001,LAVSOFT,AnaMovDia1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Cores1,,,,,operacional,media,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,CreditosemAberto1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Criticas1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Custos1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Defeitos1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,DescontoPorc1,,,,,financeira,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,DescontoporValor1,,,,,financeira,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,DescontosnoRol1,,,,,financeira,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Devoluo1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,DevoluoPagamento1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Ed_PorcDescontoPag,,,,,financeira,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Ed_ValPag,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,EmissaodeCartao1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Encerramento1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,EncerramentoParcial1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,EntradaEstoque1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,EntradaRol1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,EnviaEmail1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Etiquetas1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,ExcluiConfiguraoColunas1,,,,,operacional,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Faturamento1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Feriados1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,FiliaisMatriz1,,,,,administrativa,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,FormadePagamento1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,GravaColunas1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,GrupoEntradas1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Importacao1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Listagem1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Localizacao1,,,,,operacional,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,LogSistema1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MalaDiretaRemetente1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Manutencao1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Marcas1,,,,,operacional,media,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MenuEntradaRol1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MovGrupoClientes1,,,,,operacional,media,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MovProAna1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MovProAnaSer1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MovProSin1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MovProdServ1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MovimentoAnalitico1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MovimentoAnaliticoEntrada1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MovimentoEntradaSaidaSinttico1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MovimentoPorServicoSintetico1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MovimentoPorServicosExecutados1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MovimentoPorServicosPeso1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MovimentoProduto1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MovimentoProdutoMensal1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MovimentoResumidoNotaFiscal1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MovimentoServicoMensal1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MovimentoSintetico1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MovimentoSintticoEntrada1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,MovimentoporDiadeSemana1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Parametros1,,,,,administrativa,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Passadoria1,,,,,operacional,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,PgtosporTabela1,,,,,operacional,media,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,PontosEntregues1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,PrevisoEntrega1,,,,,operacional,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,ROlsPagos1,,,,,operacional,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,RSL1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,ReciboCaixa1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,RelControlePontos1,,,,,operacional,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,RelEstoquenoCli1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,RelFatPrecos1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,RelFreCli1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,RelatConfRol1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,RelatorioparaEntrega1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,ResFatDiaDia1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,ResFatNotFis1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,ResTipTabEmp1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,ResTipTabGru1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Resumida1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,ResumoPorEmpree1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,RolsCancelados1,,,,,operacional,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,SB_MudaValBase,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,SaldoControleEntrada1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,SituacaodoRols1,,,,,operacional,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,TabeladePreco1,,,,,operacional,media,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,TiposdeDescontos1,,,,,financeira,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,TiposdeEntrada1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,TiposdeServico1,,,,,operacional,media,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,TiposdeTecido1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,TransporteporNota1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Usuarios1,,,,,administrativa,critica,,confirmado por schema; semantica I/A/E/T pendente
FRANQ,QL001,LAVSOFT,Parametros1,,,,,administrativa,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Alterao1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,AnaMovDia1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Anotacoes1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,CFAbertura1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,CFDestravaImpressoraFiscal1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,CFFechamento1,,,,,financeira,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,CFFechamentoParcial1,,,,,financeira,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,CFFundodeCaixa1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,CFHorarioVerao1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,CFLeituraMemriaFiscal1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,CFLeituraX1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,CFSangriaCaixa1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,CaixaDiaDia1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,CancAdi,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,CancPag,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Cancelamento2,,,,,operacional,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,CancelamentoNotaFiscal1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,CancelamentodaNota1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,CancelamentodeNotasIntervalo1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Caractersticas1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,CartadeCobranca1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,ComissaoPagamento1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,ComissoRol1,,,,,operacional,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,CondicaodePagamento1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,ControledeCaixa1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,ControledeLavagem1,,,,,operacional,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,ControledeMetas1,,,,,operacional,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Cores1,,,,,operacional,media,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,CreditosemAberto1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Criticas1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Custos1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Defeitos1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,DescontoPorc1,,,,,financeira,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,DescontoporValor1,,,,,financeira,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,DescontosnoRol1,,,,,financeira,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Devoluo1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,DevoluoPagamento1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Ed_PorcDescontoPag,,,,,financeira,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Ed_ValPag,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,EmissaodeCartao1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Encerramento1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,EntradaEstoque1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,EntradaRol1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,EnviaEmail1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Etiquetas1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,ExcluiConfiguraoColunas1,,,,,operacional,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Faturamento1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Feriados1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,FiliaisMatriz1,,,,,administrativa,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,FormadePagamento1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,GravaColunas1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,GrupoEntradas1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Importacao1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Inclusao1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Listagem1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Localizacao1,,,,,operacional,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,LogSistema1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MalaDiretaRemetente1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Manutencao1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Marcas1,,,,,operacional,media,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MenuEntradaRol1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MovGrupoClientes1,,,,,operacional,media,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MovProAna1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MovProAnaSer1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MovProSin1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MovProdServ1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MovimentoAnalitico1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MovimentoAnaliticoEntrada1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MovimentoEntradaSaidaSinttico1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MovimentoPorServicoSintetico1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MovimentoPorServicosExecutados1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MovimentoPorServicosPeso1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MovimentoProduto1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MovimentoProdutoMensal1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MovimentoResumidoNotaFiscal1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MovimentoServicoMensal1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MovimentoSintetico1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MovimentoSintticoEntrada1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,MovimentoporDiadeSemana1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Parametros1,,,,,administrativa,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Passadoria1,,,,,operacional,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,PgtosporTabela1,,,,,operacional,media,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,PontosEntregues1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,PrevisoEntrega1,,,,,operacional,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,ROlsPagos1,,,,,operacional,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,RSL1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,ReciboCaixa1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,RelControlePontos1,,,,,operacional,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,RelEstoquenoCli1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,RelFatPrecos1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,RelFreCli1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,RelatConfRol1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,RelatorioparaEntrega1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,ResFatDiaDia1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,ResFatNotFis1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,ResTipTabEmp1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,ResTipTabGru1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Resumida1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,ResumoPorEmpree1,,,,,relatorio,media,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,RolsCancelados1,,,,,operacional,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,SB_MudaValBase,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,SaldoControleEntrada1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,TabeladePreco1,,,,,operacional,media,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,Terceirizacao1,,,,,operacional,alta,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,TiposdeDescontos1,,,,,financeira,critica,,confirmado por schema; semantica I/A/E/T pendente
PERFATEND,QL001,LAVSOFT,TiposdeEntrada1,,,,,estoque,alta,,confirmado por schema; semantica I/A/E/T pendente
