OperacaoPermissao,Sistemas,UsuariosDistintos,FiliaisDistintas,EscopoProvavel,Observacao
ControledeCaixa1,LAVSOFT,4,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
ControledeLavagem1,LAVSOFT,4,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
ControledeMetas1,LAVSOFT,3,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Cores1,LAVSOFT,4,1,cadastro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Crditos2,LAVSOFT,1,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
CreditosemAberto1,LAVSOFT,3,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Criticas1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Custos1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Defeitos1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Delivery1,LAVSOFT,1,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
DescontoPorc1,LAVSOFT,4,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
DescontoporValor1,LAVSOFT,4,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
DescontosnoRol1,LAVSOFT,3,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Devoluo1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
DevoluoPagamento1,LAVSOFT,4,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Ed_PorcDescontoPag,LAVSOFT,4,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Ed_ValPag,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
EmissaodeCartao1,LAVSOFT,3,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
EmitirNotaFiscal1,LAVSOFT,1,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Encerramento1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
EncerramentoParcial1,LAVSOFT,3,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
EntradaEstoque1,LAVSOFT,4,1,estoque/produto,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
EntradaRol1,LAVSOFT,4,1,estoque/produto,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
EntregaRol,LAVSOFT,1,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
EntregaVariosRol1,LAVSOFT,1,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
EntregaVariosRol2,LAVSOFT,1,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
EntregaporPecas1,LAVSOFT,1,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
EnviaEmail1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Etiquetas1,LAVSOFT,4,1,relatorio/impressao,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
ExcluiConfiguraoColunas1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Exportacao1,LAVSOFT,1,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
ExtratoCliente1,LAVSOFT,1,1,cadastro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Faturamento1,LAVSOFT,4,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
FechamentodeCaixa1,LAVSOFT,1,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Feriados1,LAVSOFT,3,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
FiliaisMatriz1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Filialmatriz1,LAVSOFT,1,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
FormadePagamento1,LAVSOFT,4,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
GravaColunas1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
GrupoEntradas1,LAVSOFT,4,1,auth/permissao,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Importacao1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Inclusao1,LAVSOFT,2,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
InformaRolnoEstoque1,LAVSOFT,1,1,estoque/produto,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Lanamentos1,LAVSOFT,1,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
LancamentoRol1,LAVSOFT,1,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Listagem1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Localizacao1,LAVSOFT,3,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
LogSistema1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MalaDiretaRemetente1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Manutencao1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MarcaEntrega,LAVSOFT,1,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Marcas1,LAVSOFT,3,1,cadastro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MenuEntradaRol1,LAVSOFT,4,1,estoque/produto,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MenuLancamentoRol1,LAVSOFT,1,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MenuRetiradas1,LAVSOFT,1,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MovGrupoClientes1,LAVSOFT,3,1,auth/permissao,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MovProAna1,LAVSOFT,3,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MovProAnaSer1,LAVSOFT,3,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MovProSin1,LAVSOFT,3,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MovProdServ1,LAVSOFT,3,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MovimentoAnalitico1,LAVSOFT,3,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MovimentoAnaliticoEntrada1,LAVSOFT,3,1,estoque/produto,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MovimentoEntradaSaidaSinttico1,LAVSOFT,3,1,estoque/produto,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MovimentoPorServicoSintetico1,LAVSOFT,3,1,cadastro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MovimentoPorServicosExecutados1,LAVSOFT,3,1,cadastro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MovimentoPorServicosPeso1,LAVSOFT,3,1,cadastro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MovimentoProduto1,LAVSOFT,4,1,estoque/produto,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MovimentoProdutoMensal1,LAVSOFT,3,1,estoque/produto,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MovimentoResumidoNotaFiscal1,LAVSOFT,3,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MovimentoServicoMensal1,LAVSOFT,3,1,cadastro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MovimentoSintetico1,LAVSOFT,3,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MovimentoSintticoEntrada1,LAVSOFT,3,1,estoque/produto,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
MovimentoporDiadeSemana1,LAVSOFT,3,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
NotaFiscal1,LAVSOFT,1,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Pagamento,LAVSOFT,1,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
PagamentoRol1,LAVSOFT,1,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
PagamentodeVariosRols1,LAVSOFT,1,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Parametros1,LAVSOFT,5,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Passadoria1,LAVSOFT,3,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
PgtosporTabela1,LAVSOFT,4,1,cadastro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
PontosEntregues1,LAVSOFT,3,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
PrevisoEntrega1,LAVSOFT,3,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
ROLsemAberto1,LAVSOFT,1,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
ROlsPagos1,LAVSOFT,3,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
RSL1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
ReciboCaixa1,LAVSOFT,4,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Reemisso2,LAVSOFT,1,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
RelControlePontos1,LAVSOFT,3,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
RelEstoquenoCli1,LAVSOFT,4,1,estoque/produto,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
RelFatPrecos1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
RelFreCli1,LAVSOFT,3,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
RelatConfRol1,LAVSOFT,4,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
RelatorioparaEntrega1,LAVSOFT,3,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
ResFatDiaDia1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
ResFatNotFis1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
ResTipTabEmp1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
ResTipTabGru1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Resumida1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
ResumoPorEmpree1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
RolsCancelados1,LAVSOFT,4,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
SB_MudaValBase,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
SaldoControleEntrada1,LAVSOFT,3,1,estoque/produto,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
SitRol,LAVSOFT,1,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
SituacaodoRols1,LAVSOFT,3,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
TabeladePreco1,LAVSOFT,4,1,cadastro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Terceirizacao1,LAVSOFT,2,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
TiposdeDescontos1,LAVSOFT,4,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
TiposdeEntrada1,LAVSOFT,4,1,estoque/produto,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
TiposdeServico1,LAVSOFT,4,1,cadastro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
TiposdeTecido1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
TransporteporNota1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Usuarios1,LAVSOFT,4,1,auth/permissao,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
VerificaLocalizaoporPeas1,LAVSOFT,1,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
VoltarRolaProduo1,LAVSOFT,1,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
