Tela,Modulo,EntidadePrincipal,EntidadesSecundarias,TabelasLidas,TabelasAlteradas,Botoes,Acoes,Permissoes,Relatorios,FluxoAnterior,FluxoPosterior,Evidencia,Pendencias
nao identificado estaticamente,LavSoft,Configuracao/Admin,a validar,"*from ""c:\EquipExe\Lav\Filial\Notas"" N,",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Financeiro,a validar,"*from ""c:\EquipExe\Rec\Filial\Duplicat"" D",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Movimentos/OS/ROL,a validar,"*Select*From""C:\EquipExe\Lav\Filial\MovCab""",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"/Select * From ""C:\EquipExe\Lav\Dados\TabPro"" T,",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Movimentos/OS/ROL,a validar,"/Select * from ""C:\EquipExe\Lav\Filial\MovCab"" M",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Clientes,a validar,"0Select * from ""c:\EquipExe\Ger\Dados\Clientes"" C",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Configuracao/Admin,a validar,"1Select * From 'c:\Equipexe\Lav\Filial\MovItem' I,",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Configuracao/Admin,a validar,"5Select * From ""c:\EquipExe\Lav\Filial\MovItem"" I,",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Financeiro,a validar,"5Select * From ""C:\EquipExe\Rec\Filial\Duplicat.Db"" D,",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,Attempt to mix objs from diff ses,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"C.TelCli2 = (SELECT T.TelCli2 from """,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"C.TelCli3 = (SELECT T.TelCli3 from """,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,,Delete all selected records?,nao confirmado estaticamente,escrita/controle,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,Delete from ',nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Delete From """,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"digo, NomFor as Fornecedor From """,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"digo, NomFor as Fornecedor From "":",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Financeiro,a validar,"Duplicate CardId found""An error returned from DDE ($0%x)/DDE Error - conversation not established ($0%x)0Error occurred when DDE ran out of memory ($0%x)""Unable to connect DDE conversation",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Edit Report...1Component requires a later version of ReportSmith(Unable to obtain Version details from %s""Unable to load ReportSmith DLL: %s2The requested Reportsmith file '%s' does not exist",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Filtros - Fecha, Limpa e Coloca Select na Query",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"from "":",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"From """,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"From "":",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"From """,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"from "":",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"From """,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"From "":",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"From """,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"From "":",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"from""",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Invalid field registration7Field '%s', from the Detail Fields list, must be linked",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Invalid variant type or size7Must select at least one key field and one update field1Update SQL statements not generated, exit anyway?&Unable to determine field names for %s",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,Select,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Select P.*, I.Rol, M.Rol, I.CodPro, R.CodPro, M.CodPas, P.CodPas,",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Clientes,a validar,"Select (O.Rol)as Entrada, (O.CodCli) as Cliente, O.DatLan,O.DatEnt,O.NumOS, O.RolOrc, O.Cancelado,OI.Rol, (OI.CodPro)as CodPro, OI.SeqPro, OI.Quantidade, OI.CodLoc, (OI.Peso)as PesoEnt,C.CodCli, C.Unidade,C.EndCli,C.NomC",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Clientes,a validar,"Select (O.Rol)as Entrada, (O.CodCli) as Cliente, O.DatLan,O.DatEnt,O.NumOS, O.RolOrc, O.Cancelado,OI.Rol, (OI.CodPro)as CodPro, OI.SeqPro, OI.Quantidade, OI.CodLoc, OI.CodCor, (OI.Peso)as PesoEnt,C.CodCli, C.Unidade,C.En",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,Select *,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,Select *,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Select * From """,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Select * From "":",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,Select * From,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,Select * From,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Select * From """,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Select * From "":",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,Select * from ',nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Select * From """,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Select * From "":",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Select * From ""C:\EquipExe\Importa\TrocaPro.Dbf""",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Movimentos/OS/ROL,a validar,Select * from movcab,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,select * from MovSaida,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,Select a Date,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Select C.*, extract( day from C.datnas) As DiaAniver,extract( Month from C.datnas) As MesAniver From """,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Select C.*, extract( day from C.datnas) As DiaAniver,extract( Month from C.datnas) As MesAniver From "":",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Financeiro,a validar,"Select C.CodCli,Max(M.DatLan),C.NomCli, C.EndCli, C.TelCli, C.Unidade, C.Contato From """,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Financeiro,a validar,"Select C.CodCli,Max(M.DatLan),C.NomCli, C.EndCli, C.TelCli, C.Unidade, C.Contato From "":",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Financeiro,a validar,"SELECT C.CodVen , SUM(T.ValTitPag) as ValPag from",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"SELECT C.NomCli ,C.CodCli ,C.DatCad ,AVG(M.ValTot)as MediaPorRol, SUM(M.ValTot)as total,",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Select CL.DatPas,M.CodPro,CL.CodPas,Count (M.CodPro) as TotPecas",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"SELECT CodCli, Sum(Quant_Real) as Total, AVG(MedLan) as MedLan, NomCli FROM """,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"SELECT CodCli, Sum(Quant_Real) as Total, AVG(MedLan) as MedLan, NomCli FROM "":",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Select CodFatPre as Codigo, DesFatPre as Descricao",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
