Executavel,RelatorioOuImpressao,Dominio,Fonte,TabelasCandidatas,FiltrosProvaveis,ValidacaoPendente
Estoque,"DBG_MovimentoDblClick""",operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,DBG_MovimentoDrawColumnCell,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,DBG_MovimentoDrawColumnCell#,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,DBG_MovimentoEnter,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,DBG_MovimentoKeyPress,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,DBG_MovimentoP,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,deseja imprimir o relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,DS_Movimento,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,DS_MovimentoT,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,em modo de impress,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,EMAILRELAT,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Enviar relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Equipe Relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Erro ao exportar o relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Exportar Relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Exportar Texto...|Exporta o relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,FiltraMovimentoDia,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Formato de Impress,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,ginas do relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Grava Relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,GRAVA_RELAT,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,"I.RDB$INDEX_NAME, I.RDB$RELATION_NAME, I.RDB$UNIQUE_FLAG,",relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,I.RDB$RELATION_NAME = ',relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Impress,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,ImpressaoDos,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,ImpressaoNoata_u,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,IMPRESSO,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Impressora,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Impressora n,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Imprimir|Imprime o relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Lbx_Impressoras,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Lbx_Impressorasl,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Movimento Compra e Venda,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Movimento de Compra e Venda,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Movimento de Pedidos,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Movimento de Pedidos (,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Movimento do Dia,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Movimento Por Produto (Sint,produto_servico,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,MovimentodoDia1,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,MovimentodoDia1<,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,MovimentodoDia1Click,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,MovimentodoDia1Click),operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Movimentos,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Movimentos - F2,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Movimentos de Estoque,estoque,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Movimentos|Movimentos de Estoque,estoque,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Movimentos1,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Movimentos1Click,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,multipart/related,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,multipart/related; boundary=%s,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,o de Relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,o de Relat. Gravados,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,o existe movimento para ser apresentado,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,"ORDER BY a.RDB$RELATION_NAME, a.RDB$FIELD_POSITION",relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,"ORDER BY a.RDB$RELATION_NAME, a.RDB$PRIVILEGE",relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,"ORDER BY a.RDB$RELATION_NAME, b.RDB$FIELD_NAME",relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,"ORDER BY RC_FOR.RDB$RELATION_NAME, IS_FOR.RDB$FIELD_POSITION",relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,"ORDER BY RELC_PRIM.RDB$RELATION_NAME, IS_FOR.RDB$FIELD_POSITION",relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Porta Impress,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Preparando o relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,PrintD_ModRelat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,"PrintD_ModRelat,",relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,ProdEstFilRel_FC.Qry_Movimento,estoque,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_Movimento,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_Movimento\,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_Movimento`,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_Movimento<,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoBaiFor,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCancelado,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCanceladod,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCelular,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCepFor,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCidFor,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodCenCus,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodCenCust,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodCla,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodCla\,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodFor,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodGruEst1,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodGruEst1x,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodGruEst2,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodGruEst2|,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodGruEst3,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodGruEst4,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodMarEst,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodMarEstp,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodProEst,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodProEstH,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodRam,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodSubC,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodSubC`,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodUniPro,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoCodUniProP,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoContato,financeiro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoDatCan,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoDatCanl,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoDesProEst,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoDesProEstL,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoEndFor,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoEstFor,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoFisJur,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoGruFor,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoGruProEst,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoGruProEstT,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoMarcaAdm,produto_servico,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoMarcacao,produto_servico,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoMarcaVenda,produto_servico,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoMotivoCan,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoMotivoCanh,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoNomFor,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoObs,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoRoteiro,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoTelFor,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoTelFor2,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoTipConEst,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Qry_MovimentoTipConEstX,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,RC_PRIM.RDB$RELATION_NAME,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,RDB$RELATION_NAME,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,RelatCompras,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,RelatImob,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,RelativePage,financeiro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,RelatMovimen,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,RELATORIO,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,RelatorioErro,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,RelatorioMovProdSim,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,RelatorioMovProdSimClick,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Relatorios,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,RelatrioMovimentaodeKits1,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,RelatrioMovimentaodeKits1Click,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,RelatrioMovimentaodeKits1x,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,RELC_FOR.RDB$RELATION_NAME,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,rio de Movimento do Dia,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,rio Movimento por Produto (Sint,produto_servico,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,rio para a impressora Default?,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Salvar Relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Salvar...|Salva o relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,SB_Movimentos,operacional/outro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,"SELECT I.RDB$RELATION_NAME, I.RDB$UNIQUE_FLAG, I.RDB$INDEX_NAME, ISGMT.RDB$FIELD_POSITION,",relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,SELECT RDB$FIELD_NAME FROM RDB$RELATION_FIELDS WHERE RDB$RELATION_NAME = ',relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Status Relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,TIMPRESSAODOS,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,TImpressaoDos`],relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Verifica impressora para proxima nota e tecle Enter),financeiro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,VERIFICAIMPRESSORA,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Visualiza final da impress,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Visualiza Relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Visualizador de Relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,VisualizaFinalImpressao,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,VisualizaFinalImpressaoClick,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Estoque,Visualizando Relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Financeiro,1-Notas ( Faturamento ),financeiro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Financeiro,Faturamento Mensal,financeiro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Financeiro,)Teste para Impress,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Financeiro,Abrir relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Financeiro,Abrir...|Abre um relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Financeiro,Arquivo de Relat,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Financeiro,CB_Impressora,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Financeiro,Configura Impressora,config_admin,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Financeiro,ConfiguraImpressora1,config_admin,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Financeiro,ConfiguraImpressora1Click,config_admin,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Financeiro,ConfiguraImpressora1Click#,config_admin,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Financeiro,ConfiguraImpressora1L,config_admin,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Financeiro,Confirma a Impress,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Financeiro,da Nota Fiscal a ser Impressa,financeiro,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
Financeiro,Database name: %s!The data were changed. Save them?3Relational operators require a field and a constant Expression expected but %s found,relatorio/impressao,strings de UI,,periodo; cliente; produto; status; filial; usuario,abrir relatorio e capturar SQL/tabelas
