"Executavel","Categoria","Texto","StatusLayout","ProximaValidacao"
"Estoque","autenticacao/permissao","TFC_DIGSENHA","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","Verifique as permiss","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","VerifSenhaFil","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","- Produto:","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","-Cliente:","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","-Produto:","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro",":Clientes""","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro",":Clientes"" C","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","!Importar Dados Cliente Fidelidade","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","'S:\EquipExe\Est\Filial\PedComItem' I,","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","""Clientes"" C","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","(|Selecione a forma de pagamento desejada","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","(Consulta|Consulta do produto selecionado","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro",")C_CadastroPromo","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro",")Desmarca o Produto no Controle de Limites","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","[ Cliente Controla Entrada ]","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","[ Grupo de Produtos - Flexivel ]","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","*Cliente","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","*S:\basetestes\usuarios\guilherme\GER\DADOS","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","\Clientes","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","\Clientes.db"" C","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","\Clientes""","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","\Clientes"" C","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","\Clientes"" Where CgcCli ='","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","\Clientes"" Where CPFCli ='","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","\rcliente.txt","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","#|Procura o desenho do produto (BMP)","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","+Filiail/Matriz|Seleciona nova filial/matriz","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","|Desenho do produto","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","|Grupo em que pertence o cliente","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","|LogoMarca do cliente","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","|Nome do Cliente","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","|Selecione o produto desejado","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","$ImportarDadosClienteFidelidade1Click","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","0Select * From ""C:\Equipexe\Est\Filial\MovEst"" M,","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","0Select * From ""C:\Equipexe\Ger\Dados\Clientes"" C","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","2Procurar por Filtro|Procura o clientes por filtros","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","3Filial","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","4Select * From 's:\EquipExe\Est\Filial\PedCompra' P,","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","5Premia Cliente novo com desconto por faixa de valores","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","a o cadastro","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","A partir da data de cadastro","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Adicionar novo produto","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Ajusta Cadastro Automaticamente","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Altera Produto","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","AlteraProduto1","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","AlteraProduto14","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Alterar Produto","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Bt_ExportaFilial","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Bt_ExportaFilialClick","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Bt_UsuarioGraficoClick","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","C_CadastroPromo","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","C:\EquipExe\Est\Filial","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","C:\EquipExe\Ger\Filial","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","C:\EquipExe\Lav\Filial","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","C:\Equipexe\Man\Filial","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","C:\EquipExe\Pag\Filial","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","C:\EquipExe\Rec\Filial","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","C:\Linker\rcliente.txt","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","cadastrado em outro cliente.","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastrar / Atualizar Filial","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro 2","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro 3","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro 4","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro Campos Flexiveis","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro de","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro de Classifica","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro de Clientes","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro de Estoques","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro de Fornecedores","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro de Funcion","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro de Grupo (Campos Flexiveis)","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro de Grupo 1","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro de Grupo 2","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro de Grupo 3","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro de Grupo 4","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro de Grupo de Produto","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro de Localiza","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro de Marcas","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro de Produtos","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro de Promo","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro de Roteiros","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro de Situa","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro de Unidade de Produto","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro Legisla","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","CADASTRO N","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro Natureza da Opera","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastro Promo","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastros","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastros foram ajustados","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastros1","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastros1L","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastros3","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cadastros3L","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","CadClientes","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","CalPrxProduto","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Caminho Filial","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Campos TipSat, CodSAt e SeqOcor n","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","CancelaClientes","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cancelado (Cadastro)","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","CancelaInclusodeProduto1","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","CancelaInclusodeProduto18","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cancelamento do Cliente Cod.:","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","CarregaClientesInt","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","CarregaProdutos","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","cb_Servico","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","CDS_ClientesInt","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","ChamaTelaProduto","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","cil - Parametros","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cliente","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cliente Cancelado","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cliente est","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cliente inv","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cliente j","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cliente n","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cliente:","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cliente/Fornecedor","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cliente/Fornecedor/","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Clientes","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","clientes_compacto","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Clientes_FC","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Clientes_FM","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Clientes_FM.DS_TmpCliPromAcu","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Clientes_FM.DS_TmpGerDadFlex","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Clientes_FM.Tb_CadCart","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Clientes.DB","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","ClientesF5_FP","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","ClientesF5_p","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","ClientesInt","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","ClientesMar","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cod Produto","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Cod. Mun. Cliente","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","codigoFilial=","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","CodUsuario","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","CodUsuario;NomUsuario","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Complemento de Produto","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Confirma Ativar o Cliente","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Confirma Desativar o Cliente","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Confirma o cancelamento do Clientes","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Confirma o Estorno do cancelamento do Cliente","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Consistencia do Produto","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Controles das Tabelas","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","CorSatCla","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","CorSatClaF","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","d Cliente","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","d Filial","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DADOS DO CLIENTE","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DB_Clientes","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DB_ClientesDrawDataCell","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DB_ClientesKeyPress","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DB_Produtos","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DB_ProdutosCellClick","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DB_ProdutosColEnter","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DB_ProdutosDrawColumnCell","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DB_ProdutosKeyPress","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DB_ProdutosKeyUp","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBG_Cadastros","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBG_CadastrosDblClick","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBG_CadastrosKeyPress","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBG_ClientesF5","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBG_ClientesF5CellClick","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBG_ClientesF5DblClick","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBG_ClientesF5DrawColumnCell","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBG_ClientesF5DrawDataCell","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBG_ClientesF5KeyPress","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBG_ClientesF5T","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBG_ClientesInt","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBG_ClientesIntDrawColumnCell","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBGrid_ProdutosKit","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBLCB_CodUsuario","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBLCB_CodUsuario(","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBLCB_CodUsuarioDropDown","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBLCB_CodUsuarioEnter","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBLCB_CodUsuarioExit","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBLCB_CodUsuarioKeyPress","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBLCB_ResUsuario","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DBLCB_ResUsuarioExit","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Deseja inserir o usuario?","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Desmarca produto marcado","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Digite o email do usuario","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Digite o email do usuario previamente cadastrado","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Digite o NOME da filial","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DIGO da filial a ser cadastrada ou atualizada","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","digo da filial n","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","digo da filial/matriz","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","digo do Cliente","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","digo do Cliente que indicou","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","digo do Produto","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","do cadastro de clientes todos os e-mails relacionados no arquivo","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DS_Cadastro","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DS_Clientes","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DS_ClientesF5","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DS_ClientesF5$","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DS_ClientesInt","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DS_TabelaPreco","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DS_Usuarios","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Dt.Cadastro","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DtE_CadastroKeyPress","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","DTP_Cadastro","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Ed_Cliente","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Ed_dCliente","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Ed_dClienteH","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Ed_dClienteKeyPress","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Ed_EmailCliEnter","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Ed_EmailCliEnter+","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Ed_EndCliEnter","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Ed_FormaPagamento","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Ed_FormaPagamentoExit","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Ed_FormaPagamentoKeyPress","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Ed_FormaPagamentoL","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Ed_MensCadastroNovo","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Ed_NomCliEnter","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","EnterNoClientes","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Esta Filial n","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Este produto est","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Estoque (Filial)","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Estoque no Cliente","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Estorno do Cancelamento do Clientes Cod.:","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Exclui o Produto do Pedido","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","ExportaCadastro","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Exportar Cadastro","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Exportar cliente para servi","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","F_Filial","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","F8 - Matriz/Filial","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","FAIXACLIENTES","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Favor informar o estoque...","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","FC_CadastroPromo","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","FC_ClientesF5","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Filial","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Filial Cadastrada com Sucesso","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Filial j","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Filial n","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Filial:","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Filial/Matriz","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Filial/Matriz n","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Filialmatriz1","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","FiltraProduto","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Flex Produto 1","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Flex Produto 2","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Flex Produto 3","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Flex Produto 4","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Flexivel de Produto 1","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Flexivel de Produto 2","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Flexivel de Produto 3","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Flexivel de Produto 4","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Forma de Pagamento","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","cadastro","Forma de pagamento Cancelada","texto_estatico_sem_posicao","captura_dinamica_MOD"
