Executavel,Form,TableName,DatabaseName,FieldName,DataSource,DataSet,TrechoSQLouTexto,OperacaoInferida,Confianca
LavSoft,,,,,,,"Select M.ROL, M.DATLAN, M.DATENT, M.DATENTROL, M.POSICAO, M.HORLAN, M.HORENT, M.HORENTROL, M.NUMGR, M.NUMOS, M.CODCLI, M.CODVEN, M.CODCONF, M.CODTIPSER, M.CANCELADO, M.SITROL, M.CODCONF, M.VALTOT, M.UNIDADE, M.CODLOC, M.TOTPECAS, M.CODTAB, ",consulta,baixa-media
LavSoft,,,,,,,"Select MC.DatPas,M.CodPro,MC.CodPas,Count (M.CodPro) as TotPecas",consulta,baixa-media
LavSoft,,,,,,,"Select MC.DatPas,M.CodPro,MC.CodPas,M.Quantidade as TotPecas",consulta,baixa-media
LavSoft,,,,,,,"select MovCab.RolOrc, MovCab.Rol, MovCab.DatLan, MovItem.CodPro, MovItem.FatPre01, MovItem.Quantidade from",consulta,baixa-media
LavSoft,,,,,,,select MovEstLan.Quantidade from,consulta,baixa-media
LavSoft,,,,,,,"Select MV.CodVen, MV.ROL, GP.GruPro, MV.CodPro, MV.SeqPro, MV.Data, MV.CodFaiCom,MV.ValPro, FC.DesFaiCom, FC.TipFaiCom,FC.ValCom MV.Taxa, MV.ValMat, MV.Quantidade,MV.ValFaiCom, MC.ROL,MC.Cancelado,MC.NumNotAdi,MC.NumNot,MC.ValTot, GP.DesGru",consulta,baixa-media
LavSoft,,,,,,,"Select NumNot, DatEmi, Obs, ValNot From """,consulta,baixa-media
LavSoft,,,,,,,"Select NumNot, DatEmi, Obs, ValNot From "":",consulta,baixa-media
LavSoft,,,,,,,"select OrcCab.RolOrc, OrcCab.Rol, OrcCab.DatLan, OrcItem.CodPro, OrcItem.FatPre01, OrcItem.Quantidade from",consulta,baixa-media
LavSoft,,,,,,,"Select P.DesPro,M.CenCusCli,P.GruPro,I.Rol,I.CodPro,I.CodLoc,I.Obs,I.FatPre01,",consulta,baixa-media
LavSoft,,,,,,,"Select Rol,CodPro,SeqPro, CodSerTer, Sum(ValorTerc) as Valor From",consulta,baixa-media
LavSoft,,,,,,,"Select Rol,CodPro,SeqPro, Sum(PreFinal) as PreFinal From """,consulta,baixa-media
LavSoft,,,,,,,"Select Rol,CodPro,SeqPro, Sum(PreFinalSer) as PreFinal From """,consulta,baixa-media
LavSoft,,,,,,,"Select Rol,CodPro,SeqPro,CodSerTer,Identif,Quantidade, Sum(ValorTerc) as Valor From",consulta,baixa-media
LavSoft,,,,,,,"Select Seq, Data, Valor, Cancelado From",consulta,baixa-media
LavSoft,,,,,,,"Select Seq,CodPro From """,consulta,baixa-media
LavSoft,,,,,,,"Select Seq,CodPro,SeqPro From """,consulta,baixa-media
LavSoft,,,,,,,"Select SeqFin as Seq, Histor, TipLan as Tipo From",consulta,baixa-media
LavSoft,,,,,,,"Select SeqRetira, CodCli, DatRet, HorRet, NomCli, Status, EndCli",consulta,baixa-media
LavSoft,,,,,,,"Select Sum(I.Quantidade) as TotQde From """,consulta,baixa-media
LavSoft,,,,,,,"Select Sum(ValDup) as Total, CodCli From """,consulta,baixa-media
LavSoft,,,,,,,"Select Sum(ValDup) as Total, CodCli From "":",consulta,baixa-media
LavSoft,,,,,,,Select Sum(ValNot) as Total From,consulta,baixa-media
LavSoft,,,,,,,"Select Sum(ValTot) as Total From """,consulta,baixa-media
LavSoft,,,,,,,"select T.CodFor, T.CodSerTer, T.DatBaixa, P.DesPro, P.ComForTer, P.TipoControle, F.NomFor, T.DatLan, M.DatEntRol, T.DatPrevEnt,CodPro,SeqPro,",consulta,baixa-media
LavSoft,,,,,,,"select T.CodFor, T.CodSerTer, T.DatBaixa, P.DesPro, P.ComForTer, P.TipPagTer, P.TipoControle, F.NomFor, T.DatLan, M.DatEntRol, T.DatPrevEnt,CodPro,SeqPro,",consulta,baixa-media
LavSoft,,,,,,,"select TabPro.CodTab, TabPro.CodPro, Produt.DesPro, TabPro.PreUniVen, TabProLim.QdeLim, TabProLim.QdeAcu, TabProLim.MesAno from",consulta,baixa-media
LavFacilLan,,,,,,,And (EXTRACT(MONTH FROM C.DatNas) =,consulta,baixa-media
LavFacilLan,,,,,,,d.description AS REMARKS FROM pg_class c,consulta,baixa-media
LavFacilLan,,,,,,,From,consulta,baixa-media
LavFacilLan,,,,,,,"From """,consulta,baixa-media
LavFacilLan,,,,,,,"From "":",consulta,baixa-media
LavFacilLan,,,,,,,"From """,consulta,baixa-media
LavFacilLan,,,,,,,"From """,consulta,baixa-media
LavFacilLan,,,,,,,"from """,consulta,baixa-media
LavFacilLan,,,,,,,"From "":",consulta,baixa-media
LavFacilLan,,,,,,,FROM %s M,consulta,baixa-media
LavFacilLan,,,,,,,"FROM pg_catalog.pg_namespace n, pg_catalog.pg_class ct, pg_catalog.pg_class ci, pg_catalog.pg_attribute a, pg_catalog.pg_index i",consulta,baixa-media
LavFacilLan,,,,,,,"FROM pg_catalog.pg_namespace n, pg_catalog.pg_class ct, pg_catalog.pg_class ci, pg_catalog.pg_index i, pg_catalog.pg_attribute a, pg_catalog.pg_am am",consulta,baixa-media
LavFacilLan,,,,,,,"FROM pg_catalog.pg_namespace n, pg_catalog.pg_proc p",consulta,baixa-media
LavFacilLan,,,,,,,FROM pg_catalog.pg_namespace n1 JOIN pg_catalog.pg_class c1 ON (c1.relnamespace = n1.oid) JOIN pg_catalog.pg_index i ON (c1.oid=i.indrelid) JOIN pg_catalog.pg_class ic ON (i.indexrelid=ic.oid) JOIN pg_catalog.pg_attribute a ON (ic.oid=a.att,consulta,baixa-media
LavFacilLan,,,,,,,"FROM pg_class c1 JOIN pg_index i ON (c1.oid=i.indrelid) JOIN pg_class ic ON (i.indexrelid=ic.oid) JOIN pg_attribute a ON (ic.oid=a.attrelid), pg_class c2, pg_trigger t1 JOIN pg_proc p1 ON (t1.tgfoid=p1.oid), pg_trigger t2 JOIN pg_proc p2 ON",consulta,baixa-media
LavFacilLan,,,,,,,"FROM pg_class ct, pg_class ci, pg_attribute a, pg_index i",consulta,baixa-media
LavFacilLan,,,,,,,"FROM pg_class ct, pg_class ci, pg_index i, pg_attribute a, pg_am am",consulta,baixa-media
LavFacilLan,,,,,,,FROM pg_proc p LEFT JOIN pg_description d ON (p.oid=d.objoid),consulta,baixa-media
LavFacilLan,,,,,,,FROM pg_proc p WHERE p.proname LIKE ',consulta,baixa-media
LavFacilLan,,,,,,,FROM RDB$DATABASE,consulta,baixa-media
LavFacilLan,,,,,,,NULL AS REMARKS FROM pg_class c WHERE true,consulta,baixa-media
LavFacilLan,,,,,,,"Select MC.DatLan, MC.HorLan, MC.DatEnt, MC.NumOS, MC.SitRol, MC.NumNot, MC.Cancelado, MC.Posicao, CP.Rol, CP.CodPro, CP.CodVenEst, CP.DatEst, CP.HorEst,CP.Situacao,CP.DatEst, PD.DesPro, MI.Identif, MI.CodLoc, CL.NomCli, VE.NomVen, VE.CodVen",consulta,baixa-media
LavFacilLan,,,,,,,"Select MC.Rol, MC.Posicao, MC.DatLan, MC.DatEntRol, MC.DatEnt, MC.Unidade, MC.NumOS, MC.NumGR, MC.CodTab, MC.ValTot, MC.DescontoROL, MC.DescontoValor, MC.CodLoc as CodLocRol, MC.CodVen, MC.SitRol, MC.CodCli, MC.HorEnt, MC.CodTipEnt, MC.CenC",consulta,baixa-media
LavFacilLan,,,,,,,"Select MC.Rol,MC.DatLan, MC.HorLan, MC.DatEnt, MC.NumOS, MC.SitRol, MC.NumNot, MC.Cancelado, MC.Posicao",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT a.RDB$RELATION_NAME, a.RDB$FIELD_NAME, a.RDB$FIELD_POSITION, a.RDB$NULL_FLAG, a.RDB$DEFAULT_VALUE, b. RDB$FIELD_LENGTH, b.RDB$FIELD_SCALE, c.RDB$TYPE_NAME, b.RDB$FIELD_TYPE, b.RDB$FIELD_SUB_TYPE, b.RDB$DESCRIPTION, b.RDB$CHARACTER_LE",consulta,baixa-media
LavFacilLan,,,,,,,"Select DF.CodDef, DF.DesDef, DG.CodDef, DG.GruPro",consulta,baixa-media
LavFacilLan,,,,,,,"Select FP.CodFatPre, FC.DesFatPre",consulta,baixa-media
LavFacilLan,,,,,,,"Select FP.CodFatPre, FP.DesFatPre, FG.CodFatPre, FG.GruPro",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT I.RDB$RELATION_NAME, I.RDB$UNIQUE_FLAG, I.RDB$INDEX_NAME, ISGMT.RDB$FIELD_POSITION,",consulta,baixa-media
LavFacilLan,,,,,,,"Select LP.DatLan, LP.CodSerLav, LP.QdePonLan, MC.Rol, MC.TotPecas",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT M.Rol, C.NomCli, M.DatLan, M.%s as OS",consulta,baixa-media
LavFacilLan,,,,,,,"Select MA.CodMar, MA.DesMar, MA.Cancelado, MG.CodMar, MG.GruPro",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT NULL AS TABLE_CAT, n.nspname AS TABLE_SCHEM, c.relname AS TABLE_NAME, CASE (n.nspname LIKE 'pg\\_%') OR (n.nspname='information_schema') WHEN true THEN CASE n.nspname WHEN 'pg_catalog' THEN CASE c.relkind WHEN 'r' THEN 'SYSTEM TABLE'",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT null as TABLE_CAT, null as TABLE_SCHEM, a.RDB$RELATION_NAME as TABLE_NAME, b.RDB$FIELD_NAME as COLUMN_NAME, b.RDB$FIELD_POSITION+1 as KEY_SEQ, a.RDB$INDEX_NAME as PK_NAME FROM RDB$RELATION_CONSTRAINTS a JOIN RDB$INDEX_SEGMENTS b ON (",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT P.RDB$PROCEDURE_NAME, PP.RDB$PARAMETER_NAME, PP.RDB$PARAMETER_TYPE, F.RDB$FIELD_TYPE, F.RDB$FIELD_SUB_TYPE, F.RDB$FIELD_SCALE, F.RDB$FIELD_LENGTH, F.RDB$NULL_FLAG, PP.RDB$DESCRIPTION, F.RDB$FIELD_PRECISION, F.RDB$NULL_FLAG FROM RDB$P",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT P.RDB$PROCEDURE_NAME, PP.RDB$PARAMETER_NAME, PP.RDB$PARAMETER_TYPE, F.RDB$FIELD_TYPE, F.RDB$FIELD_SUB_TYPE, F.RDB$FIELD_SCALE, F.RDB$FIELD_LENGTH, F.RDB$NULL_FLAG, PP.RDB$DESCRIPTION, F.RDB$FIELD_SCALE as RDB$FIELD_PRECISION, F.RDB$N",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT RC_PRIM.RDB$RELATION_NAME, IS_PRIM.RDB$FIELD_NAME, RC_FOR.RDB$RELATION_NAME, IS_FOR.RDB$FIELD_NAME, IS_FOR.RDB$FIELD_POSITION, REFC_PRIM.RDB$UPDATE_RULE, REFC_PRIM.RDB$DELETE_RULE, RC_FOR.RDB$CONSTRAINT_NAME, RC_PRIM.RDB$CONSTRAINT_N",consulta,baixa-media
LavFacilLan,,,,,,,"SELECT RDB$TYPE, RDB$TYPE_NAME FROM RDB$TYPES WHERE RDB$FIELD_NAME = 'RDB$FIELD_TYPE'",consulta,baixa-media
LavFacilLan,,,,,,,SELECT Rol FROM MovCab M WHERE,consulta,baixa-media
LavFacilLan,,,,,,,"SELECT t.typlen FROM pg_catalog.pg_type t, pg_catalog.pg_namespace n WHERE t.typnamespace=n.oid AND t.typname='name' AND n.nspname='pg_catalog'",consulta,baixa-media
LavFacilLan,,,,,,,SELECT t1.typlen/t2.typlen FROM,consulta,baixa-media
LavFacilLan,,,,,,,SELECT typlen FROM pg_type WHERE typname='name',consulta,baixa-media
LavFacilLan,,,,,,,SELECT typname FROM pg_catalog.pg_type,consulta,baixa-media
LavFacilLan,,,,,,,SELECT typname FROM pg_type,consulta,baixa-media
LavFacilLan,,,,,,,Where C.Email = ( Select E.Email From,consulta,baixa-media
LavFacilLan,,,,,,,"-Select * From ""C:\EquipExe\Lav\Filial\MovCab""",consulta,baixa-media
LavFacilLan,,,,,,,"-Select * From ""S:\EquipExe\Lav\Filial\MovCab""",consulta,baixa-media
LavFacilLan,,,,,,,",from ""c:\EquipExe\Lav\Filial\movcab"" M,",consulta,baixa-media
LavFacilLan,,,,,,,",insert,update,delete,select,drop,create,from,set,values,where,order,group,by,having,into,as,table,index,primary,key,on,is,null,char,varchar,integer,number,",consulta,baixa-media
LavFacilLan,,,,,,,!No Stored Procedure Name assigned<use ExecProc for Procedure; use TQuery for Select procedures,consulta,baixa-media
LavFacilLan,,,,,,,"'from ""c:\EquipExe\Lav\Filial\Notas""N,",consulta,baixa-media
LavFacilLan,,,,,,,") From """,consulta,baixa-media
LavFacilLan,,,,,,,")from ""c:\EquipExe\Pag\Filial\Titulos"" T",consulta,baixa-media
LavFacilLan,,,,,,,"*Can't write to a read-only resource streamECheckSynchronize called from thread $%x, which is NOT the main thread",consulta,baixa-media
LavFacilLan,,,,,,,"*from ""c:\EquipExe\Lav\Filial\MovItem"" I,",consulta,baixa-media
LavFacilLan,,,,,,,"*from ""c:\EquipExe\Rec\Filial\Duplicat"" D",consulta,baixa-media
LavFacilLan,,,,,,,"*Select*From""C:\EquipExe\Lav\Filial\MovCab""",consulta,baixa-media
LavFacilLan,,,,,,,"/Select * From ""C:\EquipExe\Lav\Dados\TabPro"" T,",consulta,baixa-media
LavFacilLan,,,,,,,"0Select * From ""C:\Equipexe\Ger\Dados\Clientes"" C",consulta,baixa-media
LavFacilLan,,,,,,,"1Select * From 'c:\Equipexe\Lav\Filial\MovItem' I,",consulta,baixa-media
LavFacilLan,,,,,,,"ALL,AND,AS,BETWEEN,BY,CASE,CHECK,COLLATE,COMMIT,CONSTRAINT,CREATE,DEFAULT,DEFERRABLE,DELETE,DISTINCT,DROP,ELSE,EXCEPT,FOREIGN,FROM,GLOB,GROUP,HAVING,IN,INDEX,INSERT,INTERSECT,INTO,IS,ISNULL,JOIN,LIKE,LIMIT,NOT,NOTNULL,NULL,ON,OR,ORDER,PRIMA",consulta,baixa-media
LavFacilLan,,,,,,,Auto Select,consulta,baixa-media
LavFacilLan,,,,,,,"Cannot drag a form""An error returned from DDE ($0%x)/DDE Error - conversation not established ($0%x)0Error occurred when DDE ran out of memory ($0%x)""Unable to connect DDE conversation",consulta,baixa-media
LavFacilLan,,,,,,,Column lists do not match8Column types don't match. (From index: %d; To index: %d)_Can't end a shared transaction unless it is forced and equal to the transaction's TimeoutAction,consulta,baixa-media
LavFacilLan,,,,,,,"DataSource cannot be changed*Nested datasets cannot have a MasterSource0Cannot perform this operation on an open dataset""Dataset not in edit or insert mode1Cannot perform this operation on a closed dataset1Cannot perform this operation on a",escrita/controle,baixa-media
LavFacilLan,,,,,,,Delete all selected records?,escrita/controle,baixa-media
LavFacilLan,,,,,,,Delete all selected records?%Operation not allowed in a DBCtrlGrid&Control cannot be used in a DBCtrlGrid(Property already defined by lookup field/Grid requested to display more than 256 columns,escrita/controle,baixa-media
LavFacilLan,,,,,,,"Delete From """,consulta,baixa-media
LavFacilLan,,,,,,,"Delete From "":",consulta,baixa-media
LavFacilLan,,,,,,,DELETE FROM %s,consulta,baixa-media
LavFacilLan,,,,,,,Delete From dbCadFpgData Where (Not (CodFpg is null)),consulta,baixa-media
